pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F0578S_01H0610S,01F0578S,0000100005750H,121.233197,24.984414,01H0610S,00001B0006020H,121.209867,24.96525,3.2,South
01F0584N_01F0557N,01F0584N,0000100105800H,121.228944,24.980558,01F0557N,0000100105540H,121.247722,24.998583,2.7,North
01F0616S_01F0633S,01F0616S,0000100006100H,121.204739,24.961617,01F0633S,0000100006300H,121.195594,24.949281,1.7,South
01F0633N_01F0616N,01F0633N,0000100106300H,121.195594,24.949281,01F0616N,0000100006100H,121.204739,24.961617,1.7,North
01F0633N_01H0579N,01F0633N,0000100106300H,121.195594,24.949281,01H0579N,00001B0105700H,121.232981,24.983667,5.4,North
01F0633S_01F0664S,01F0633S,0000100006300H,121.195594,24.949281,01F0664S,0000100006600H,121.176919,24.929544,3.1,South
01F0664N_01F0633N,01F0664N,0000100106600H,121.176919,24.929544,01F0633N,0000100106300H,121.195594,24.949281,3.1,North
01F0664S_01F0681S,01F0664S,0000100006600H,121.176919,24.929544,01F0681S,0000100006800H,121.167586,24.917967,1.7,South
01F0681N_01F0664N,01F0681N,0000100106800H,121.167586,24.917967,01F0664N,0000100106600H,121.176919,24.929544,1.7,North
01F0681S_01F0699S,01F0681S,0000100006800H,121.167586,24.917967,01F0699S,0000100006970H,121.159761,24.903297,1.8,South
01F0699N_01F0681N,01F0699N,0000100106960H,121.159761,24.903297,01F0681N,0000100106800H,121.167586,24.917967,1.8,North
01F0699S_01F0750S,01F0699S,0000100006970H,121.159761,24.903297,01F0750S,0000100007400H,121.111731,24.893436,5.1,South
01F0750N_01F0699N,01F0750N,0000100107400H,121.111731,24.893436,01F0699N,0000100106960H,121.159761,24.903297,5.1,North
01F0750N_01H0608N,01F0750N,0000100107400H,121.111731,24.893436,01H0608N,00001B0106020H,121.211614,24.965878,14.2,North
01F0750S_01F0880S,01F0750S,0000100007400H,121.111731,24.893436,01F0880S,0000100008800J,121.019031,24.848719,13,South
01F0880N_01F0750N,01F0880N,0000100108800J,121.019031,24.848719,01F0750N,0000100107400H,121.111731,24.893436,13,North
01F0880S_01F0928S,01F0880S,0000100008800J,121.019031,24.848719,01F0928S,0000100009240O,121.010306,24.808453,4.8,South
01F0928N_01F0880N,01F0928N,0000100109240O,121.010306,24.808453,01F0880N,0000100108800J,121.019031,24.848719,4.8,North
01F0928S_01F0950S,01F0928S,0000100009240O,121.010306,24.808453,01F0950S,0000100009470O,121.005247,24.789622,2.2,South
01F0950S_01F0980S,01F0950S,0000100009470O,121.005247,24.789622,01F0980S,0000100009800J,120.998861,24.763586,3,South
01F0956N_01F0928N,01F0956N,0000100109550O,121.003725,24.783944,01F0928N,0000100109240O,121.010306,24.808453,2.8,North
01F0979N_01F0956N,01F0979N,0000100109740J,120.999897,24.764414,01F0956N,0000100109550O,121.003725,24.783944,2.3,North
01F0980S_01F1045S,01F0980S,0000100009800J,120.998861,24.763586,01F1045S,0000100010400J,120.951897,24.727131,6.5,South
01F0980S_03F0996N,01F0980S,0000100009800J,120.998861,24.763586,03F0996N,0000300109940J,120.997269,24.755811,3.1,North
01F0980S_03F1022S,01F0980S,0000100009800J,120.998861,24.763586,03F1022S,0000300010200J,120.972267,24.757914,2.8,South
01F1045N_01F0979N,01F1045N,0000100110400J,120.951897,24.727131,01F0979N,0000100109740J,120.999897,24.764414,6.6,North
01F1045N_03F0996N,01F1045N,0000100110400J,120.951897,24.727131,03F0996N,0000300109940J,120.997269,24.755811,6,North
01F1045N_03F1022S,01F1045N,0000100110400J,120.951897,24.727131,03F1022S,0000300010200J,120.972267,24.757914,7.5,South
01F1045S_01F1123S,01F1045S,0000100010400J,120.951897,24.727131,01F1123S,0000100011200K,120.904267,24.679317,7.8,South
01F1123N_01F1045N,01F1123N,0000100111200K,120.904267,24.679317,01F1045N,0000100110400J,120.951897,24.727131,7.8,North
